"Ativo","Data","roic","roe","roa","margem_liquida","margem_ebit","divida_liquida_ebitda","receita_liquida","ebit","deprec","deprec2","deprec3","deprec4","lucro_liquido","ativo_total","passivo_circulante","total_emprestimos_e_financiamentos","caixa_e_equivalentes","aplicacoes_financeiras","patrimonio_liquido","participacao_nao_controladora_acionistas","total_emprestimos_e_financiamentos_lp","capital_investido","ebitda","divida_bruta","divida_liquida"
"WEGE3<XBSP>","4T1994",25.6194661,20.782623783,15.92501369,14.370359653,20.585300111,"-",261252.334,53779.577,"-","-","-","-",37225.893,235747.992,50367190,5535.023,"-","-",178869.956,1775.666,3128.285,138545.123,"-",8663.308,-43707394
"WEGE3<XBSP>","1T1995",26.588980268,21.551055439,15.853521368,14.159302674,19.696598288,"-",299761.63466,59042.845001,"-","-","-","-",42128.091909,267727,64609000,7351,"-","-",195239,1708,3727,146558,"-",11078,-52833000
"WEGE3<XBSP>","2T1995",22.241839666,17.860027816,13.331137998,11.661352535,18.0771274,"-",338863.14493,61256.72242,"-","-","-","-",39187.69094,296419,68036000,4346,"-","-",219359,1895,5072,181772,"-",9418,-41539000
"WEGE3<XBSP>","3T1995",18.650196495,14.393749485,9.9666452164,9.5586480656,16.656964271,"-",355277.74094,59178.486372,"-","-","-","-",33686.775258,340734,87773000,11558,"-","-",233875,2059,8031,209423,"-",19589,-35507000
"WEGE3<XBSP>","4T1995",12.167115201,12.253003157,8.253262051,8.454562657,13.643960724,-0.097580156022,353135.889,48181.722,15844.472,"-","-","-",29709.353,361749.025,84261578,16872.236,"-","-",241534.303,2129.186,9880.055,261359.706,64026.194,26752.291,-6247686
"WEGE3<XBSP>","1T1996",9.3509530921,9.6386502877,5.8461074984,7.0379729901,11.955110361,"-",339406.9664,40576.477408,"-","-","-","-",23774.789223,408603,63686000,13182,"-","-",245695,2134,47790,286393,"-",60972,-10734000
"WEGE3<XBSP>","2T1996",7.2581204461,8.5748376066,5.0171917986,6.7090444119,9.4819622584,"-",326391.25557,30948.295667,"-","-","-","-",21841.888911,436454,83253000,19314,"-","-",253239,2133,57383,281421,"-",76697,-14396999.999
"WEGE3<XBSP>","3T1996",7.0875187374,9.3955438006,5.1096486916,7.2776228115,8.8775159111,"-",332541.76953,29521.448501,"-","-","-","-",24175.229445,473636,115319000,19084,"-","-",255424,2157,61129,274908,"-",80213,-22280000
"WEGE3<XBSP>","4T1996",10.381320122,15.350408973,8.2520661992,10.970521944,12.17994697,-0.30013600396,372243,45339,19365,"-","-","-",40660,494870,111865000,25438,"-","-",263772,2260,75339,288246,64704,100777,-19420000
"WEGE3<XBSP>","1T1997",12.378343364,17.80675556,9.9015921497,12.419075339,14.407777769,"-",399909,57618,"-","-","-","-",49461,501586,103489000,21740,"-","-",276735,2176,75915,307213,"-",97655,-14969000
